"s","l","n"
"http://dbpedia.org/resource/Eureka_Forbes","http://dbpedia.org/resource/India",5000000
"http://dbpedia.org/resource/Mary_Kay","http://dbpedia.org/resource/United_States",3500000
"http://dbpedia.org/resource/European_Retail_Round_Table","http://dbpedia.org/resource/Belgium",2300000
"http://dbpedia.org/resource/List_of_railway_stations_in_India","http://dbpedia.org/resource/India",1308000
"http://dbpedia.org/resource/China_Post","http://dbpedia.org/resource/China",860200
"http://dbpedia.org/resource/Russian_Railways","http://dbpedia.org/resource/Russia",740315
"http://dbpedia.org/resource/Tata_Group","http://dbpedia.org/resource/India",722281
"http://dbpedia.org/resource/Tesco_International_operations","http://dbpedia.org/resource/Hertfordshire",597784
"http://dbpedia.org/resource/Deutsche_Post","http://dbpedia.org/resource/Germany",546924
"http://dbpedia.org/resource/Accenture","http://dbpedia.org/resource/Republic_of_Ireland",513000
"http://dbpedia.org/resource/PetroChina","http://dbpedia.org/resource/China",506000
"http://dbpedia.org/resource/China_National_Aero-Technology_Import_&_Export_Corporation","http://dbpedia.org/resource/China",500000
"http://dbpedia.org/resource/ISS_A/S","http://dbpedia.org/resource/Denmark",485908
"http://dbpedia.org/resource/Agricultural_Bank_of_China","http://dbpedia.org/resource/China",473691
"http://dbpedia.org/resource/Tesco","http://dbpedia.org/resource/Hertfordshire",450000
"http://dbpedia.org/resource/Tata_Consultancy_Services","http://dbpedia.org/resource/India",448464
"http://dbpedia.org/resource/Schwarz_Gruppe","http://dbpedia.org/resource/Germany",429000
"http://dbpedia.org/resource/Ukrainian_Railways","http://dbpedia.org/resource/Ukraine",403000
"http://dbpedia.org/resource/Siemens","http://dbpedia.org/resource/Germany",385000
"http://dbpedia.org/resource/DHL","http://dbpedia.org/resource/Germany",380000
"http://dbpedia.org/resource/Ahold_Delhaize","http://dbpedia.org/resource/Belgium",375000
"http://dbpedia.org/resource/Ahold_Delhaize","http://dbpedia.org/resource/Netherlands",375000
"http://dbpedia.org/resource/Charoen_Pokphand","http://dbpedia.org/resource/Thailand",360000
"http://dbpedia.org/resource/Securitas_AB","http://dbpedia.org/resource/Sweden",335945
"http://dbpedia.org/resource/Mittal_Steel_Company","http://dbpedia.org/resource/Netherlands",320000
"http://dbpedia.org/resource/Sanyo","http://dbpedia.org/resource/Japan",312010
"http://dbpedia.org/resource/Deloitte","http://dbpedia.org/resource/United_Kingdom",312000
"http://dbpedia.org/resource/MIC_Tanzania_Limited","http://dbpedia.org/resource/Tanzania",300000
"http://dbpedia.org/resource/Sberbank_of_Russia","http://dbpedia.org/resource/Russia",281000
"http://dbpedia.org/resource/Daewoo_Electronics","http://dbpedia.org/resource/South_Korea",276000
"http://dbpedia.org/resource/Panasonic","http://dbpedia.org/resource/Japan",273858
"http://dbpedia.org/resource/Sumitomo_Electric_Industries","http://dbpedia.org/resource/Japan",272796
"http://dbpedia.org/resource/SNCF","http://dbpedia.org/resource/France",272000
"http://dbpedia.org/resource/Albertsons","http://dbpedia.org/resource/United_States",270000
"http://dbpedia.org/resource/CK_Hutchison_Holdings","http://dbpedia.org/resource/Hong_Kong",270000
"http://dbpedia.org/resource/Safeway_Inc.","http://dbpedia.org/resource/United_States",250000
"http://dbpedia.org/resource/State_Bank_of_India","http://dbpedia.org/resource/India",249448
"http://dbpedia.org/resource/Sinopec","http://dbpedia.org/resource/China",249142
"http://dbpedia.org/resource/Mahindra_Group","http://dbpedia.org/resource/India",240000
"http://dbpedia.org/resource/Dashang_Group","http://dbpedia.org/resource/China",230000
"http://dbpedia.org/resource/Andrade_Gutierrez","http://dbpedia.org/resource/Brazil",223000
